ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
174,174.txt,1020,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
175,175.txt,1020,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
176,176.txt,1020,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
177,177.txt,1020,BA 3,2019,,,Arabic,Hebrew,16,ArCC
178,178.txt,1021,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
179,179.txt,1021,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
180,180.txt,1021,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
181,181.txt,1022,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
182,182.txt,1022,BA 3,25/03/2019,,,Arabic,Hebrew,6,ArCC
183,183.txt,1022,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
184,184.txt,1022,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
185,185.txt,1022,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
186,186.txt,1022,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
187,187.txt,1022,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
188,188.txt,1022,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
189,189.txt,1022,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
190,190.txt,1023,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
191,191.txt,1023,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
192,192.txt,1023,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
193,193.txt,1023,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
194,194.txt,1023,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
195,195.txt,1023,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
196,196.txt,1024,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
197,197.txt,1024,BA 3,25/03/2019,,,Arabic,Hebrew,6,ArCC
198,198.txt,1024,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
199,199.txt,1024,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
200,200.txt,1025,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
201,201.txt,1025,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
202,202.txt,1025,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
203,203.txt,1025,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
204,204.txt,1025,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
205,205.txt,1025,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
206,206.txt,1025,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
207,207.txt,1026,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
208,208.txt,1026,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
209,209.txt,1026,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
210,210.txt,1026,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
211,211.txt,1026,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
212,212.txt,1026,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
213,213.txt,1027,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
214,214.txt,1027,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
215,215.txt,1027,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
216,216.txt,1027,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
217,217.txt,1028,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
218,218.txt,1028,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
219,219.txt,1028,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
220,220.txt,1028,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
221,221.txt,1028,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
222,222.txt,1029,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
223,223.txt,1029,BA 3,25/03/2019,,,Arabic,Hebrew,6,ArCC
224,224.txt,1029,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
225,225.txt,1029,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
226,226.txt,1029,BA 3,29/04/2019,,,Arabic,Hebrew,1,ArCC
227,227.txt,1029,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
228,228.txt,1029,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
229,229.txt,1029,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
230,230.txt,1030,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
231,231.txt,1030,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
232,232.txt,1031,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
233,233.txt,1031,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
234,234.txt,1031,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
235,235.txt,1031,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
236,236.txt,1031,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
237,237.txt,1031,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
238,238.txt,1031,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
239,239.txt,1031,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
240,240.txt,1032,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
241,241.txt,1032,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
242,242.txt,1032,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
243,243.txt,1032,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
244,244.txt,1032,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
245,245.txt,1033,BA 3,25/03/2019,,,Arabic,Hebrew,6,ArCC
246,246.txt,1033,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
247,247.txt,1033,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
248,248.txt,1033,BA 3,2019,,,Arabic,Hebrew,16,ArCC
249,249.txt,1034,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
250,250.txt,1034,BA 3,29/04/2019,,,Arabic,Hebrew,10,ArCC
251,251.txt,1034,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
252,252.txt,1035,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
253,253.txt,1035,BA 3,25/03/2019,,,Arabic,Hebrew,6,ArCC
254,254.txt,1035,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
255,255.txt,1035,BA 3,11/03/2019,,,Arabic,Hebrew,8,ArCC
256,256.txt,1035,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
257,257.txt,1035,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
258,258.txt,1035,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
259,259.txt,1035,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
260,260.txt,1035,BA 3,2019,,,Arabic,Hebrew,16,ArCC
261,261.txt,1036,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
262,262.txt,1036,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
263,263.txt,1036,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
264,264.txt,1036,BA 3,20/05/2019,,,Arabic,Hebrew,13,ArCC
265,265.txt,1036,BA 3,03/06/2019,,,Arabic,Hebrew,14,ArCC
266,266.txt,1036,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
267,267.txt,1036,BA 3,2019,,,Arabic,Hebrew,16,ArCC
268,268.txt,1037,BA 3,04/03/2019,,,Arabic,Hebrew,1,ArCC
269,269.txt,1037,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
270,270.txt,1037,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
271,271.txt,1037,BA 3,06/05/2019,,,Arabic,Hebrew,12,ArCC
272,272.txt,1037,BA 3,10/06/2019,,,Arabic,Hebrew,15,ArCC
273,273.txt,1038,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
274,274.txt,1038,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
275,275.txt,1038,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
276,276.txt,1038,BA 3,20/03/2019,,,Arabic,Hebrew,8,ArCC
277,277.txt,1038,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
278,278.txt,1038,BA 3,12/06/2019,,,Arabic,Hebrew,14,ArCC
279,279.txt,1038,BA 3,2019,,,Arabic,Hebrew,16,ArCC
280,280.txt,1039,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
281,281.txt,1039,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
282,282.txt,1039,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
283,283.txt,1039,BA 3,20/03/2019,,,Arabic,Hebrew,8,ArCC
284,284.txt,1039,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
285,285.txt,1039,BA 3,22/05/2019,,,Arabic,Hebrew,13,ArCC
286,286.txt,1039,BA 3,12/06/2019,,,Arabic,Hebrew,14,ArCC
287,287.txt,1040,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
288,288.txt,1040,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
289,289.txt,1040,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
290,290.txt,1040,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
291,291.txt,1040,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
292,292.txt,1040,BA 3,22/05/2019,,,Arabic,Hebrew,13,ArCC
293,293.txt,1040,BA 3,12/06/2019,,,Arabic,Hebrew,14,ArCC
294,294.txt,1040,BA 3,2019,,,Arabic,Hebrew,16,ArCC
295,295.txt,1041,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
296,296.txt,1041,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
297,297.txt,1041,BA 3,20/03/2019,,,Arabic,Hebrew,8,ArCC
298,298.txt,1041,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
299,299.txt,1041,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
300,300.txt,1041,BA 3,22/05/2019,,,Arabic,Hebrew,13,ArCC
301,301.txt,1041,BA 3,12/06/2019,,,Arabic,Hebrew,14,ArCC
302,302.txt,1041,BA 3,2019,,,Arabic,Hebrew,16,ArCC
303,303.txt,1042,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
304,304.txt,1042,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
